userName,score,at,content
Dede Yati,1,2026-04-27 08:17:45,"jmo knapa sulit login ya selalu salah kata sandi dan username, padahal dari dulu bisa, dan tidak ada perubahan sandi"
Amrulah DB,1,2026-04-27 08:05:27,knp tidak bisa masuk akun sudah di tekan bergabung terus email bnr kata sandi benar Mash ga bisa benerin dong aplikasi nya
I Made Dwi Antara,2,2026-04-27 07:40:46,tidak bisa login email dan password sudah benar
Samuel Chris,5,2026-04-27 07:40:07,bagus
Shul Jalali,5,2026-04-27 07:29:58,sangat membantu
Ahmad Wawan,5,2026-04-27 07:21:49,baik
joels baesi,5,2026-04-27 07:15:54,bagus
Sri Untung,1,2026-04-27 07:05:41,"kenapa baru download jmo terus terhenti tidak bisa masuk ke aplikasi , mohon segera di perbaiki"
Wardi Ucup,4,2026-04-27 07:00:11,mempermudah cek saldo yg sudah ada..
Dwi Prayoga,1,2026-04-27 06:59:28,jangan mau di bodohi aku mencairkan saldo udah seminggu belum masuk rekening sampai sekarang
Andreas Lukita,5,2026-04-27 06:35:18,proses cepat dan mudah
Musda Via,1,2026-04-27 05:49:15,JMO trus berhenti.. d hp redmi 4x.. gmn mohon d perbaiki
Nanang Apri,5,2026-04-27 05:46:02,"klaim menjadi lebih melalui aplikasi JMO tidak perlu datang ke kantor cabang lagi dan proses nya cepat,ayo klaim melalui aplikasi JMO 👍"
iyan setiawan,5,2026-04-27 05:33:08,terbantu memudahkan
Desi Utami,3,2026-04-27 05:18:50,"sudah upgrade paling terbaru , pasword dan email sudah benar 100% tapi tidak bisa login sama sekali, cuma berhenti di halaman itu terus, agak mengecewakan sih jmo, saya mau cek dari minggu lalu sampai sekarang masih sama"
Hardie One,5,2026-04-27 05:00:25,"Proses pencairan cepat, verifikasi mudah, pelayananan bagus dihubungi via WA untuk klaim JHT. Pertahankan kualitas, terima kasih."
Sandy Sumala,5,2026-04-27 04:57:15,terbaik
Mauludi Isdhianto,5,2026-04-27 04:37:48,bagus sekali
kurniawan alfata,5,2026-04-27 04:31:05,keren sekarang aplikasi tidak ribet2 lagi
Logista Deny Saputra,5,2026-04-27 04:19:15,mudah
Zelmira Neily Faricha,5,2026-04-27 04:14:37,good
Alif Nur Gusti Legawa,5,2026-04-27 04:13:04,terima kasih
Muhammad fajar,1,2026-04-27 04:02:47,gak bisa login
Abeng Bule,1,2026-04-27 04:01:28,tidak bisa buka apj jmo karena terus memuat dan terus kembali
Alfi,5,2026-04-27 03:58:16,ok
Dwi Arnan,5,2026-04-27 03:47:09,Masuk pakai Android Huawei 80 mate tdk merespon kenapa ya
Azhar Apriansyah,5,2026-04-27 03:34:07,proses pelayanan cepat lewat aplikasi JMO
Sampe Risa,5,2026-04-27 03:30:50,sangat membantu sekali
Itha Corebima,5,2026-04-27 02:57:03,terbaik dan cepat prosesnya
Isna Apriadi (Blues),5,2026-04-27 02:37:47,josjus
HannaClaudia,5,2026-04-27 02:09:15,pelayanan bagus terimaksih bpjs pohuwato
Vahren,3,2026-04-27 02:07:15,kenapa aplikasi nya pas dibuka mental terus?? udah uninstal berkali-kali tapi tetap tidak bisa
Moh Mansur,5,2026-04-27 02:06:26,sangat membantu sekali
Senopra Pras,5,2026-04-27 01:32:31,sangat mudah digunakan
dadang supriyadi,5,2026-04-27 00:21:03,"Sejauh ini, lumayan bagus dan membantu dalam pencairan dana JHT"
Nanang Santoso,1,2026-04-27 00:14:19,aplikasi tidak bisa dibuka
Yessy Melia,1,2026-04-27 00:08:46,"aplikasi ribet, sudah klaim tapi uang tdk. masuk"
Iman Imanuel laro,5,2026-04-27 00:05:11,"aplikasinya tidak bisa di buka, mental terus"
Diah Wiranti,1,2026-04-26 23:31:09,"baru mau buka apk jmo tapi pas diklik langsung kembali lagi , jadi apk nya gak bisa dibuka sama sekali , tolong diperbaiki lagi"
DONSEM-81,3,2026-04-26 23:21:35,Ngga bisa login lagi gimna ini apk nya? aduh apakah lagi ada maintenance..???
dakocan jaran,1,2026-04-26 20:16:26,"ini kenapa ya kok gabisa cek rincian RSJHT bulan lalu,kenapa hanya muncul yg tahun yg lalu/sebelumnya,jadi kurang update untuk RSJHTnya"
Vita jayatama syafira,1,2026-04-26 18:41:35,kenapa ini qo JMO aku gak bisa dibuka
